Love's,33.4573,-80.73515
Love's,33.20725,-84.05707
Love's,34.4209,-79.42014
Love's,33.69161,-85.18851
Love's,33.15946,-84.87216
Love's,33.51438,-82.50261
TravelCenters of America,38.99303,-93.56753
TravelCenters of America,39.01878,-94.12858
TravelCenters of America,37.09433,-93.80753
TravelCenters of America,37.27584,-93.11338
TravelCenters of America,38.42685,-95.72859
TravelCenters of America,41.11224,-101.71553
TravelCenters of America,30.2848,-89.75136
TravelCenters of America,32.44574,-93.94747
TravelCenters of America,32.3882,-91.19948
TravelCenters of America,35.13917,-90.48924
TravelCenters of America,35.45993,-97.6591
TravelCenters of America,35.4611,-97.68919
TravelCenters of America,32.90826,-96.44959
TravelCenters of America,32.65339,-96.75073
TravelCenters of America,33.2622,-97.1774
TravelCenters of America,29.79609,-95.03186
TravelCenters of America,29.04578,-96.50885
TravelCenters of America,29.44411,-98.36196
TravelCenters of America,26.38431,-98.14291
TravelCenters of America,39.78831,-104.90331
TravelCenters of America,39.77833,-105.13504
TravelCenters of America,39.27074,-103.70765
TravelCenters of America,41.1596,-104.52205
TravelCenters of America,43.5643,-116.19867
TravelCenters of America,35.19201,-114.0704
TravelCenters of America,35.11094,-106.62383
TravelCenters of America,35.50525,-108.833
TravelCenters of America,32.2988,-106.81333
TravelCenters of America,36.04429,-115.18713
TravelCenters of America,39.53599,-119.73666
TravelCenters of America,33.71373,-116.17434
TravelCenters of America,34.85177,-117.08293
TravelCenters of America,35.40141,-119.39755
TravelCenters of America,40.50551,-122.33489
Love's,35.72357,-86.31878
TravelCenters of America,45.2365,-122.80835
TravelCenters of America,44.13708,-123.05785
TravelCenters of America,47.46751,-121.71611
TravelCenters of America,43.10384,-80.75842
Love's,35.29245,-84.81799
Love's,36.01149,-83.53258
Love's,35.07536,-89.94979
Ta,41.29705,-72.7635
Love's,35.67813,-88.74522
TravelCenters of America,34.23521,-79.80632
TravelCenters of America,28.87405,-82.0936
TravelCenters of America,38.91795,-84.62674
TravelCenters of America,39.00088,-84.64459
TravelCenters of America,39.61725,-83.60323
TravelCenters of America,41.4136,-84.09761
Love's,32.49577,-82.98057
Love's,31.96178,-81.33205
Love's,31.41666,-83.50253
Love's,29.33935,-81.13561
Love's,34.36829,-86.89355
Love's,32.60472,-90.07288
Love's,32.41059,-88.5066
Love's,30.42629,-89.13614
Love's,37.97865,-85.69351
Love's,37.84368,-84.32553
Love's,36.97662,-84.11619
Love's,37.00284,-88.31899
Love's,37.20112,-85.93449
Love's,39.62142,-83.61228
Love's,39.9689,-81.90184
Love's,40.99617,-81.99628
Love's,41.17305,-80.56872
Love's,41.17274,-83.65294
Love's,39.87691,-86.47274
Love's,38.48958,-85.77035
Love's,39.87196,-84.93305
Love's,42.27761,-84.93208
Love's,41.67963,-92.99911
Love's,43.96135,-90.37893
Love's,43.6586,-93.31755
Love's,42.45566,-88.99892
Love's,41.37311,-89.01008
Love's,40.34151,-88.76053
Love's,39.96152,-89.56134
Love's,38.15471,-88.90879
Love's,39.72407,-94.78699
Love's,37.01233,-94.54574
Love's,38.93354,-92.77813
Love's,37.982,-91.72111
Love's,40.81841,-97.99765
Love's,30.17138,-93.58719
Love's,30.44534,-91.24394
Love's,32.58298,-93.25074
TravelCenters of America,36.01603,-86.62005
Love's,32.3877,-91.19924
Love's,33.82826,-93.3941
Love's,35.26622,-92.73254
Love's,34.77821,-92.13026
TravelCenters of America,35.57401,-89.05567
TravelCenters of America,39.84008,-84.62902
Love's,34.98603,-90.90589
TravelCenters of America,41.57344,-87.40348
Love's,35.39381,-97.26487
TravelCenters of America,43.17354,-89.32456
Love's,35.18277,-97.50148
TravelCenters of America,42.71527,-88.97947
Love's,35.45815,-97.68908
TravelCenters of America,42.48724,-87.95173
Love's,35.59451,-97.43563
Love's,35.37731,-97.49617
TravelCenters of America,30.25266,-92.03713
Love's,35.37713,-97.57392
TravelCenters of America,33.81048,-93.42748
Love's,34.18749,-97.17101
TravelCenters of America,29.74804,-98.05761
TravelCenters of America,35.19231,-101.75888
TravelCenters of America,41.77692,-107.22358
TravelCenters of America,34.06414,-117.55663
TravelCenters of America,34.06398,-117.56037
